Q20,Q30,EHFB,HFBROT
21600.0,24000.0,-1747.948226,-1752.839798
21600.0,30000.0,-1751.226936,-1756.11726
21600.0,36000.0,-1751.853161,-1756.723992
21600.0,42000.0,-1747.95278,-1752.939102
21600.0,48000.0,-1745.568861,-1750.641872
21600.0,54000.0,-1742.528914,-1747.707464
21600.0,60000.0,-1737.532266,-1742.890066
22400.0,-0.0,-1749.493769,-1754.4634
22400.0,6000.0,-1748.690999,-1753.68029
22400.0,12000.0,-1746.459445,-1751.48955
22400.0,18000.0,-1744.669456,-1749.575494
22400.0,24000.0,-1747.381683,-1752.290121
22400.0,30000.0,-1750.610629,-1755.523563
22400.0,36000.0,-1752.276376,-1757.157445
22400.0,42000.0,-1749.252669,-1754.213337
22400.0,48000.0,-1746.136008,-1751.207209
22400.0,54000.0,-1744.098159,-1749.265642
22400.0,60000.0,-1740.232372,-1745.470998
23200.0,0.0,-1749.669912,-1754.676124
23200.0,6000.0,-1749.113051,-1754.118876
23200.0,12000.0,-1747.107394,-1752.144387
23200.0,18000.0,-1746.528086,-1751.09954
23200.0,24000.0,-1746.934463,-1751.856715
23200.0,30000.0,-1749.934952,-1754.868078
23200.0,36000.0,-1752.215902,-1757.125942
23200.0,42000.0,-1750.620961,-1755.574383
23200.0,48000.0,-1747.132731,-1752.133407
23200.0,54000.0,-1745.461854,-1750.597054
23200.0,60000.0,-1742.549064,-1747.774194
24000.0,-0.0,-1749.675828,-1754.709308
24000.0,6000.0,-1749.318468,-1754.339983
24000.0,12000.0,-1747.596061,-1752.636476
24000.0,18000.0,-1749.583945,-1754.147499
24000.0,24000.0,-1747.484874,-1752.136326
24000.0,30000.0,-1749.275119,-1754.229583
24000.0,36000.0,-1751.890685,-1756.830274
24000.0,42000.0,-1751.784479,-1756.723524
24000.0,48000.0,-1748.730469,-1753.696634
24000.0,54000.0,-1746.690318,-1751.793106
24000.0,60000.0,-1744.448115,-1749.645417
24800.0,-0.0,-1749.59011,-1754.640847
24800.0,6000.0,-1749.34239,-1754.37865
24800.0,12000.0,-1748.646009,-1753.223883
24800.0,18000.0,-1752.34541,-1756.899593
24800.0,24000.0,-1751.071085,-1755.719852
24800.0,30000.0,-1748.727097,-1753.694037
24800.0,36000.0,-1751.433777,-1756.392169
24800.0,42000.0,-1752.442433,-1757.381981
24800.0,48000.0,-1750.061657,-1755.036427
24800.0,54000.0,-1747.55901,-1752.644397
24800.0,60000.0,-1746.319339,-1751.466871
25600.0,0.0,-1749.427181,-1754.49037
25600.0,6000.0,-1749.214397,-1754.264816
25600.0,12000.0,-1750.514003,-1755.097427
25600.0,18000.0,-1754.763498,-1759.300561
25600.0,24000.0,-1754.381401,-1759.022839
25600.0,30000.0,-1751.107374,-1755.755189
25600.0,36000.0,-1750.956438,-1755.915156
25600.0,42000.0,-1752.593464,-1757.553433
25600.0,48000.0,-1751.381415,-1756.353657
25600.0,54000.0,-1748.534057,-1753.560441
25600.0,60000.0,-1747.733535,-1752.853237
