     Z      N         Q20         Q30         B         ZPE           M22           M23           M33
     92    140       96.00       15.00    -1737.2320        1.4713        0.0630       -0.0367        0.0644
     92    140       96.00       18.00    -1732.0470        1.4143        0.0440       -0.0375        0.0681
     92    140       96.00       21.00    -1728.1877        1.5742        0.0558       -0.0498        0.0717
     92    140       96.00       24.00    -1724.1639        0.8135        0.1254       -0.1771        0.2596
     92    140       96.00       27.00    -1719.6188        1.3182        0.0439       -0.0488        0.1014
     92    140       96.00       30.00    -1719.1384        1.3905        0.0562       -0.0561        0.0981
     92    140       96.00       33.00    -1719.6726        1.4479        0.0571       -0.0626        0.1023
     92    140       96.00       36.00    -1718.9180        1.4847        0.0466       -0.0515        0.0876
     92    140       96.00       39.00    -1727.6526        2.0168        0.1464       -0.1424        0.1483
     92    140       96.00       42.00    -1730.3144        1.8997        0.1782       -0.1768        0.1856
     92    140       96.00       45.00    -1732.0977        1.9610        0.1751       -0.1758        0.1864
     92    140       96.00       48.00    -1732.8873        2.2748        0.1310       -0.1336        0.1448
     92    140       96.00       51.00    -1732.7148        2.2725        0.0891       -0.0754        0.1723
     92    140       96.00       54.00    -1730.3174        0.9200        0.0609       -0.0906        0.1532
     92    140       96.00       57.00    -1730.7588        0.9816        0.0527       -0.0749        0.1259
     92    140       96.00       60.00    -1731.3038        1.1913        0.0733       -0.1086        0.1767
     92    140      104.00        0.00    -1747.6564        1.5420        0.0504        0.0000        0.0335
     92    140      104.00        3.00    -1748.1760        1.4889        0.0513       -0.0050        0.0356
     92    140      104.00        6.00    -1748.8819        1.5006        0.0547       -0.0125        0.0386
     92    140      104.00        9.00    -1747.8733        1.5820        0.0604       -0.0238        0.0430
     92    140      104.00       12.00    -1744.3299        1.5827        0.0577       -0.0289        0.0463
     92    140      104.00       15.00    -1739.8521        1.5928        0.0461       -0.0251        0.0431
     92    140      104.00       18.00    -1734.6725        1.2464        0.0194       -0.0264        0.0630
     92    140      104.00       21.00    -1729.3312        1.3180        0.0505       -0.0469        0.0753
     92    140      104.00       24.00    -1726.2921        1.5508        0.0436       -0.0352        0.0516
     92    140      104.00       27.00    -1721.6560        1.4069        0.0358       -0.0311        0.0663
     92    140      104.00       30.00    -1719.4796        1.4185        0.0507       -0.0460        0.0824
     92    140      104.00       33.00    -1717.5372        1.5953        0.0464       -0.0439        0.0790
     92    140      104.00       36.00    -1717.9935        1.4916        0.0518       -0.0414        0.0646
     92    140      104.00       39.00    -1717.3929        1.4303        0.0515       -0.0409        0.0603
     92    140      104.00       42.00    -1725.4290        2.0014        0.1068       -0.0987        0.0995
     92    140      104.00       45.00    -1728.6589        2.1273        0.1155       -0.1274        0.2396
     92    140      104.00       48.00    -1731.3017        2.0311        0.1368       -0.1795        0.3013
     92    140      104.00       51.00    -1733.2098        2.0264        0.1455       -0.1920        0.3146
     92    140      104.00       54.00    -1732.3050        0.7770        0.1505       -0.2382        0.3902
     92    140      104.00       57.00    -1732.0656        0.9321        0.0795       -0.1200        0.1959
     92    140      104.00       60.00    -1732.0265        0.9261        0.0608       -0.0876        0.1428
     92    140      112.00        0.00    -1745.9991        1.6022        0.0437        0.0000        0.0240
     92    140      112.00        3.00    -1746.4174        1.6456        0.0413       -0.0040        0.0281
     92    140      112.00        6.00    -1747.6313        1.5291        0.0457       -0.0089        0.0344
     92    140      112.00        9.00    -1748.0829        1.5172        0.0508       -0.0169        0.0421
     92    140      112.00       12.00    -1746.4610        1.5554        0.0585       -0.0270        0.0476
     92    140      112.00       15.00    -1743.1135        1.5789        0.0675       -0.0303        0.0415
     92    140      112.00       18.00    -1737.9736        1.4893        0.0568       -0.0319        0.0461
     92    140      112.00       21.00    -1732.3761        1.3829        0.0525       -0.0415        0.0636
     92    140      112.00       24.00    -1727.9499        1.3031        0.0549       -0.0452        0.0670
     92    140      112.00       27.00    -1722.5364        1.4387        0.0361       -0.0280        0.0644
     92    140      112.00       30.00    -1720.2237        1.4105        0.0418       -0.0386        0.0694
     92    140      112.00       33.00    -1718.1623        1.4183        0.0490       -0.0480        0.0850
     92    140      112.00       36.00    -1716.3669        1.3977        0.0513       -0.0520        0.0992
     92    140      112.00       39.00    -1715.0212        0.6015        0.0091        0.0075        0.0185
     92    140      112.00       42.00    -1715.9388        1.3206        0.0574       -0.0400        0.0526
     92    140      112.00       45.00    -1722.6947        1.9418        0.0674       -0.0593        0.0668
     92    140      112.00       48.00    -1736.5348        0.4254        0.0580       -0.0979        0.2051
     92    140      112.00       51.00    -1740.3402        0.7415        0.0177       -0.0230        0.0579
     92    140      112.00       54.00    -1742.0807        2.2422        0.0074       -0.0045        0.0164
     92    140      112.00       57.00    -1740.4607        0.7079        0.1993       -0.3475        0.6241
     92    140      112.00       60.00    -1738.2947        0.5260        0.3318       -0.5572        0.9487
     92    140      120.00        0.00    -1744.8984        1.6012        0.0473        0.0000        0.0214
     92    140      120.00        3.00    -1745.3060        1.5492        0.0455       -0.0040        0.0229
     92    140      120.00        6.00    -1746.7332        1.4406        0.0381       -0.0063        0.0284
     92    140      120.00        9.00    -1748.2410        1.4859        0.0389       -0.0117        0.0330
     92    140      120.00       12.00    -1747.6900        1.4829        0.0451       -0.0217        0.0399
     92    140      120.00       15.00    -1745.5427        1.4675        0.0635       -0.0389        0.0582
     92    140      120.00       18.00    -1741.7389        1.4482        0.0648       -0.0395        0.0503
     92    140      120.00       21.00    -1736.3791        1.4116        0.0593       -0.0382        0.0521
     92    140      120.00       24.00    -1731.1402        1.4649        0.0631       -0.0574        0.0819
     92    140      120.00       27.00    -1724.0048        1.4364        0.0291       -0.0242        0.0510
     92    140      120.00       30.00    -1721.3552        1.5205        0.0372       -0.0297        0.0598
     92    140      120.00       33.00    -1719.0365        1.4034        0.0446       -0.0433        0.0800
     92    140      120.00       36.00    -1717.0839        1.4051        0.0422       -0.0456        0.0910
     92    140      120.00       39.00    -1715.8172        1.2737        0.0479       -0.0547        0.1087
     92    140      120.00       42.00    -1715.6379        1.3919        0.0430       -0.0303        0.0456
     92    140      120.00       45.00    -1714.8520        1.2504        0.0559       -0.0404        0.0532
     92    140      120.00       48.00    -1713.6441        1.2783        0.0456       -0.0436        0.0872
     92    140      120.00       51.00    -1731.1116        0.8419       -0.0069        0.0165       -0.0156
     92    140      120.00       54.00    -1739.6767        0.4289        0.0559       -0.0922        0.1846
     92    140      120.00       57.00    -1742.9835        0.8240        0.0145       -0.0179        0.0444
     92    140      120.00       60.00    -1743.3657        2.7133        0.0056       -0.0042        0.0109
     92    140      128.00        0.00    -1743.3105        1.7590        0.0371        0.0000        0.0203
     92    140      128.00        3.00    -1744.0416        1.6170        0.0356       -0.0025        0.0223
