   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   22.00    2.00    8.00   -1802.287       4.507    0.011848    0.019492    0.000379   -0.001140   -0.001253    0.000086       1.118       1.151
   22.00    2.00    9.00   -1802.255       4.517    0.011621    0.019141    0.000382   -0.001075   -0.001240    0.000089       1.131       1.164
   22.00    2.00   10.00   -1802.222       4.528    0.011399    0.018796    0.000388   -0.001015   -0.001231    0.000089       1.146       1.177
   22.00    2.00   11.00   -1802.187       4.540    0.011202    0.018449    0.000379   -0.000959   -0.001195    0.000090       1.161       1.190
   22.00    2.00   12.00   -1802.147       4.551    0.010898    0.018126    0.000358   -0.000942   -0.001126    0.000100       1.175       1.203
   22.00    2.00   13.00   -1802.099       4.560    0.010733    0.017818    0.000342   -0.000895   -0.001089    0.000097       1.188       1.216
   22.00    2.00   14.00   -1802.048       4.570    0.010520    0.017518    0.000349   -0.000849   -0.001077    0.000099       1.201       1.229
   22.00    2.00   15.00   -1801.998       4.581    0.010369    0.017221    0.000357   -0.000808   -0.001075    0.000103       1.216       1.241
   22.00    2.00   16.00   -1801.944       4.593    0.010215    0.016924    0.000344   -0.000747   -0.001040    0.000095       1.231       1.254
   22.00    2.00   17.00   -1801.884       4.604    0.010039    0.016632    0.000326   -0.000720   -0.000991    0.000097       1.245       1.266
   22.00    2.00   18.00   -1801.818       4.613    0.009883    0.016358    0.000322   -0.000676   -0.000966    0.000094       1.258       1.278
   22.00    2.00   19.00   -1801.752       4.624    0.009733    0.016096    0.000318   -0.000643   -0.000943    0.000094       1.271       1.292
   22.00    2.00   20.00   -1801.679       4.634    0.009626    0.015841    0.000305   -0.000608   -0.000917    0.000089       1.285       1.304
   22.00    2.00   21.00   -1801.601       4.643    0.009477    0.015595    0.000300   -0.000576   -0.000891    0.000090       1.298       1.317
   22.00    2.00   22.00   -1801.520       4.653    0.009312    0.015358    0.000303   -0.000563   -0.000872    0.000098       1.311       1.329
   22.00    2.00   23.00   -1801.438       4.663    0.009161    0.015114    0.000299   -0.000524   -0.000847    0.000094       1.324       1.342
   22.00    2.00   24.00   -1801.349       4.672    0.009016    0.014890    0.000301   -0.000499   -0.000833    0.000095       1.337       1.355
   22.00    2.00   25.00   -1801.262       4.684    0.008821    0.014653    0.000307   -0.000477   -0.000814    0.000101       1.351       1.368
   22.00    2.00   26.00   -1801.169       4.695    0.008666    0.014427    0.000296   -0.000451   -0.000774    0.000100       1.365       1.380
   22.00    2.00   27.00   -1801.072       4.706    0.008568    0.014213    0.000294   -0.000421   -0.000760    0.000097       1.378       1.393
   22.00    2.00   28.00   -1800.973       4.717    0.008389    0.013993    0.000300   -0.000396   -0.000743    0.000100       1.393       1.405
   22.00    2.00   29.00   -1800.873       4.729    0.008261    0.013777    0.000289   -0.000365   -0.000708    0.000095       1.407       1.419
   22.00    2.00   30.00   -1800.763       4.739    0.008155    0.013585    0.000268   -0.000349   -0.000667    0.000094       1.419       1.431
   22.00    2.00   31.00   -1800.648       4.749    0.008005    0.013395    0.000264   -0.000325   -0.000642    0.000094       1.432       1.444
   22.00    2.00   32.00   -1800.528       4.758    0.007871    0.013211    0.000260   -0.000302   -0.000619    0.000094       1.445       1.456
   22.00    2.00   33.00   -1800.404       4.767    0.007750    0.013031    0.000257   -0.000281   -0.000598    0.000094       1.458       1.468
   22.00    2.00   34.00   -1800.277       4.776    0.007640    0.012856    0.000254   -0.000261   -0.000578    0.000094       1.470       1.480
   22.00    2.00   35.00   -1800.146       4.785    0.007538    0.012685    0.000251   -0.000242   -0.000560    0.000094       1.482       1.492
   22.00    2.00   36.00   -1800.011       4.793    0.007443    0.012517    0.000249   -0.000225   -0.000542    0.000094       1.495       1.504
   22.00    2.00   37.00   -1799.873       4.802    0.007351    0.012353    0.000247   -0.000208   -0.000525    0.000094       1.507       1.516
   22.00    2.00   38.00   -1799.731       4.811    0.007261    0.012191    0.000245   -0.000192   -0.000508    0.000094       1.519       1.528
   22.00    2.00   39.00   -1799.587       4.821    0.007169    0.012032    0.000243   -0.000176   -0.000492    0.000093       1.532       1.541
   22.00    2.00   40.00   -1799.439       4.831    0.007075    0.011874    0.000241   -0.000161   -0.000475    0.000093       1.544       1.554
   22.00    2.00   41.00   -1799.287       4.840    0.006988    0.011724    0.000237   -0.000143   -0.000458    0.000092       1.557       1.566
   22.00    2.00   42.00   -1799.131       4.850    0.006902    0.011577    0.000234   -0.000127   -0.000441    0.000090       1.569       1.577
   22.00    2.00   43.00   -1798.972       4.859    0.006817    0.011433    0.000230   -0.000111   -0.000425    0.000089       1.582       1.589
   22.00    2.00   44.00   -1798.809       4.868    0.006734    0.011292    0.000226   -0.000097   -0.000409    0.000088       1.594       1.601
   22.00    2.00   45.00   -1798.642       4.878    0.006654    0.011154    0.000222   -0.000083   -0.000393    0.000087       1.607       1.612
   22.00    2.00   46.00   -1798.471       4.887    0.006575    0.011020    0.000218   -0.000071   -0.000378    0.000086       1.619       1.624
   22.00    2.00   47.00   -1798.297       4.896    0.006499    0.010890    0.000215   -0.000060   -0.000364    0.000085       1.631       1.636
   22.00    2.00   48.00   -1798.119       4.905    0.006426    0.010764    0.000211   -0.000050   -0.000350    0.000085       1.643       1.647
   22.00    2.00   49.00   -1797.937       4.914    0.006356    0.010642    0.000208   -0.000041   -0.000337    0.000085       1.655       1.658
   22.00    2.00   50.00   -1797.752       4.923    0.006289    0.010524    0.000204   -0.000034   -0.000325    0.000086       1.667       1.670
   22.00    2.00   51.00   -1797.563       4.931    0.006225    0.010411    0.000202   -0.000028   -0.000313    0.000087       1.679       1.681
   22.00    2.00   52.00   -1797.371       4.940    0.006165    0.010303    0.000199   -0.000023   -0.000303    0.000089       1.690       1.691
   22.00    2.00   53.00   -1797.175       4.948    0.006109    0.010200    0.000197   -0.000019   -0.000294    0.000091       1.702       1.702
   23.00    0.00    0.00   -1803.173       4.401    0.014151    0.021748    0.000498    0.000000   -0.001709    0.000000       0.957       1.012
   23.00    0.00    1.00   -1803.169       4.454    0.013798    0.021524    0.000483    0.000000   -0.001654    0.000000       0.972       1.026
   23.00    0.00    2.00   -1803.161       4.462    0.013375    0.021231    0.000481    0.000000   -0.001613    0.000000       0.986       1.039
   23.00    0.00    3.00   -1803.152       4.471    0.013074    0.020909    0.000481    0.000000   -0.001590    0.000000       1.001       1.053
   23.00    0.00    4.00   -1803.141       4.481    0.012762    0.020591    0.000472    0.000000   -0.001541    0.000000       1.017       1.066
   23.00    0.00    5.00   -1803.126       4.491    0.012375    0.020265    0.000448    0.000000   -0.001460    0.000000       1.032       1.081
   23.00    0.00    6.00   -1803.104       4.500    0.012098    0.019958    0.000443    0.000000   -0.001430    0.000000       1.046       1.094
   23.00    0.00    7.00   -1803.083       4.511    0.011889    0.019633    0.000433    0.000000   -0.001396    0.000000       1.062       1.107
