 #  Z     N         Q_20        Q_30       BE_LN
    92   158      232.00       27.00    -1803.6600
    92   158      232.00       30.00    -1801.3000
    92   158      232.00       33.00    -1797.7990
    92   158      232.00       36.00    -1794.8150
    92   158      232.00       39.00    -1792.3420
    92   158      232.00       42.00    -1788.4510
    92   158      232.00       45.00    -1782.6920
    92   158      232.00       48.00    -1776.3850
    92   158      232.00       51.00    -1775.2670
    92   158      232.00       54.00    -1772.8150
    92   158      232.00       57.00    -1785.2594
    92   158      232.00       60.00    -1783.5330
    92   158      240.00        0.00    -1798.4370
    92   158      240.00        3.00    -1798.2810
    92   158      240.00        6.00    -1797.6000
    92   158      240.00        9.00    -1796.6200
    92   158      240.00       12.00    -1796.3190
    92   158      240.00       15.00    -1796.7440
    92   158      240.00       18.00    -1799.8130
    92   158      240.00       21.00    -1802.8030
    92   158      240.00       24.00    -1804.8910
    92   158      240.00       27.00    -1804.7920
    92   158      240.00       30.00    -1802.8900
    92   158      240.00       33.00    -1800.0490
    92   158      240.00       36.00    -1796.5180
    92   158      240.00       39.00    -1793.8950
    92   158      240.00       42.00    -1790.8760
    92   158      240.00       45.00    -1786.1290
    92   158      240.00       48.00    -1779.6830
    92   158      240.00       51.00    -1777.1190
    92   158      240.00       54.00    -1774.7260
    92   158      240.00       57.00    -1787.7430
    92   158      240.00       60.00    -1787.5070
    92   158      248.00        0.00    -1798.8630
    92   158      248.00        3.00    -1798.7080
    92   158      248.00        6.00    -1798.1030
    92   158      248.00        9.00    -1797.0280
    92   158      248.00       12.00    -1796.2980
    92   158      248.00       15.00    -1796.5500
    92   158      248.00       18.00    -1799.2650
    92   158      248.00       21.00    -1802.3030
    92   158      248.00       24.00    -1804.7130
    92   158      248.00       27.00    -1805.4810
    92   158      248.00       30.00    -1804.0010
    92   158      248.00       33.00    -1801.8640
    92   158      248.00       36.00    -1798.4660
    92   158      248.00       39.00    -1795.1150
    92   158      248.00       42.00    -1792.2280
    92   158      248.00       45.00    -1789.3360
    92   158      248.00       48.00    -1790.7220
    92   158      248.00       51.00    -1790.8280
    92   158      248.00       54.00    -1790.9240
    92   158      248.00       57.00    -1790.9340
    92   158      248.00       60.00    -1790.8570
    92   158      256.00        0.00    -1791.6350
    92   158      256.00        3.00    -1799.0080
    92   158      256.00        6.00    -1798.5020
    92   158      256.00        9.00    -1797.5480
