 #  Z     N         Q_20        Q_30       BE_LN
    92   158      248.00        9.00    -1854.2590
    92   158      248.00       12.00    -1855.2320
    92   158      248.00       15.00    -1858.0100
    92   158      248.00       18.00    -1860.4350
    92   158      248.00       21.00    -1862.3360
    92   158      248.00       24.00    -1862.7280
    92   158      248.00       27.00    -1861.1030
    92   158      248.00       30.00    -1858.6020
    92   158      248.00       33.00    -1856.9530
    92   158      248.00       36.00    -1854.2830
    92   158      248.00       39.00    -1850.6130
    92   158      248.00       42.00    -1845.9820
    92   158      248.00       45.00    -1840.4190
    92   158      248.00       48.00    -1838.1640
    92   158      248.00       51.00    -1835.4600
    92   158      248.00       54.00    -1842.1510
    92   158      248.00       57.00    -1843.0940
    92   158      248.00       60.00    -1844.8190
    92   158      256.00        0.00    -1852.7770
    92   158      256.00        3.00    -1853.0150
    92   158      256.00        6.00    -1853.7370
    92   158      256.00        9.00    -1854.3100
    92   158      256.00       12.00    -1855.1060
    92   158      256.00       15.00    -1857.7280
    92   158      256.00       18.00    -1860.2160
    92   158      256.00       21.00    -1862.0370
    92   158      256.00       24.00    -1862.7390
    92   158      256.00       27.00    -1861.6030
    92   158      256.00       30.00    -1859.2320
    92   158      256.00       33.00    -1857.6660
    92   158      256.00       36.00    -1855.6050
    92   158      256.00       39.00    -1852.5050
    92   158      256.00       42.00    -1848.2250
    92   158      256.00       45.00    -1841.7560
    92   158      256.00       48.00    -1839.8330
    92   158      256.00       51.00    -1837.2360
    92   158      256.00       54.00    -1834.5190
    92   158      256.00       57.00    -1844.8680
    92   158      256.00       60.00    -1846.0280
