#    Z      N      Q20        Q30        BE           E0           M22          M32          M33         
    92    140     88.000     39.000  -1695.84429      0.85654      0.07343     -0.08930      0.26900
    92    140     88.000     42.000  -1691.58623      0.77505      0.08991     -0.07937      0.27000
    92    140     88.000     45.000  -1690.46889      1.90943      0.09146     -0.06683      0.30080
    92    140     88.000     48.000  -1689.45288      2.50828      0.21830     -0.39570      1.20000
    92    140     88.000     51.000  -1685.50460      2.15732      0.15400     -0.18600      0.66560
    92    140     88.000     54.000  -1677.18572      1.58853      0.10090     -0.07668      0.39380
    92    140     88.000     57.000  -1669.53297      2.07909      0.15140     -0.22740      0.80360
    92    140     88.000     60.000  -1660.27397      1.97951      0.15950     -0.18410      0.76920
    92    140     96.000     -0.000  -1749.67304      1.58272      0.07200      0.00000      0.03418
    92    140     96.000      3.000  -1749.78245      1.51972      0.07405     -0.00679      0.03626
    92    140     96.000      6.000  -1749.19153      1.42660      0.07759     -0.01671      0.04182
    92    140     96.000      9.000  -1746.43967      1.41888      0.07242     -0.02707      0.04753
    92    140     96.000     12.000  -1742.23648      1.48619      0.05597     -0.02422      0.04896
    92    140     96.000     15.000  -1737.64153      1.46836      0.06532     -0.03531      0.06403
    92    140     96.000     18.000  -1732.36657      1.44766      0.04673     -0.03701      0.06657
    92    140     96.000     21.000  -1728.01063      1.55412      0.05570     -0.04278      0.06341
    92    140     96.000     24.000  -1723.32932      1.33388      0.03358     -0.02723      0.08408
    92    140     96.000     27.000  -1721.11048      1.36820      0.05215     -0.03685      0.10050
    92    140     96.000     30.000  -1718.61340      1.54842      0.05211     -0.04249      0.10200
    92    140     96.000     33.000  -1716.47654      1.52548      0.04835     -0.02177      0.06081
    92    140     96.000     36.000  -1712.36314      1.13257      0.06028     -0.04042      0.11030
    92    140     96.000     39.000  -1703.27400      1.13798      0.06899     -0.07937      0.22110
    92    140     96.000     42.000  -1691.42962      0.85163      0.05814     -0.08704      0.26930
    92    140     96.000     45.000  -1692.67171      0.78359      0.09178     -0.04258      0.16370
    92    140     96.000     48.000  -1692.24947      0.72715      0.10100     -0.15990      0.50480
    92    140     96.000     51.000  -1690.17990      2.17608      0.17430     -0.30630      0.96010
    92    140     96.000     54.000  -1684.82908      2.01986      0.19020     -0.35060      1.08800
    92    140     96.000     57.000  -1675.43260      1.48351      0.08443     -0.06256      0.34140
    92    140     96.000     60.000  -1667.54446      0.48673      0.16390     -0.16340      0.74830
    92    140    104.000     -0.000  -1748.36225      1.52579      0.05261     -0.00000      0.03451
    92    140    104.000      3.000  -1748.88861      1.47546      0.05357     -0.00512      0.03649
    92    140    104.000      6.000  -1749.52943      1.50143      0.05675     -0.01235      0.03895
    92    140    104.000      9.000  -1748.36618      1.59445      0.06272     -0.02342      0.04295
    92    140    104.000     12.000  -1744.70414      1.60589      0.05995     -0.02851      0.04623
    92    140    104.000     15.000  -1740.19349      1.61617      0.04893     -0.02526      0.04388
    92    140    104.000     18.000  -1734.83716      1.47999      0.06021     -0.04335      0.06610
    92    140    104.000     21.000  -1729.13391      1.62324      0.04554     -0.03717      0.05943
    92    140    104.000     24.000  -1725.03713      1.57386      0.04330     -0.02707      0.04940
    92    140    104.000     27.000  -1718.44329      1.30972      0.03976     -0.02946      0.08452
    92    140    104.000     30.000  -1719.23991      1.36039      0.05525     -0.04484      0.09212
    92    140    104.000     33.000  -1716.75150      1.39982      0.04930     -0.04136      0.09655
    92    140    104.000     36.000  -1713.35599      1.21099      0.06206     -0.06427      0.15530
    92    140    104.000     39.000  -1707.86748      1.41605      0.04689     -0.05267      0.14370
    92    140    104.000     42.000  -1698.95127      1.01793      0.03454     -0.02718      0.08637
    92    140    104.000     45.000  -1694.83315      1.13449      0.05078     -0.05985      0.20430
    92    140    104.000     48.000  -1694.77793      0.63833      0.17780     -0.35670      1.12100
    92    140    104.000     51.000  -1693.09043      0.66723      0.17590     -0.35580      1.07800
    92    140    104.000     54.000  -1689.60509      0.68604      0.13030     -0.17350      0.65180
    92    140    104.000     57.000  -1682.48471      0.56609      0.19760     -0.31640      1.05300
    92    140    104.000     60.000  -1672.69243      0.55983      0.08869     -0.09434      0.40060
    92    140    112.000      0.000  -1746.46186      1.61096      0.04488     -0.00000      0.02473
    92    140    112.000      3.000  -1747.07786      1.65546      0.04285     -0.00379      0.02935
    92    140    112.000      6.000  -1748.27029      1.51026      0.04795     -0.00912      0.03567
    92    140    112.000      9.000  -1748.59089      1.51357      0.05300     -0.01702      0.04336
    92    140    112.000     12.000  -1746.85637      1.56552      0.06064     -0.02649      0.04836
    92    140    112.000     15.000  -1743.37927      1.57720      0.07088     -0.02889      0.04115
    92    140    112.000     18.000  -1737.97990      1.51860      0.05546     -0.02860      0.04368
    92    140    112.000     21.000  -1731.79911      1.41158      0.05304     -0.04080      0.06024
    92    140    112.000     24.000  -1726.30547      1.31662      0.05918     -0.04201      0.06148
    92    140    112.000     27.000  -1722.01256      1.58879      0.05633     -0.03006      0.04823
    92    140    112.000     30.000  -1720.19808      1.36747      0.04451     -0.03984      0.07425
    92    140    112.000     33.000  -1717.70747      1.30633      0.05584     -0.05029      0.09748
    92    140    112.000     36.000  -1715.53723      1.15865      0.05120     -0.05322      0.11690
